X,Y,OBJECTID,COD_SIG,IDTIPO,CAT_NOME,CAT_ID,INF_ID,INF_NOME,INF_MORADA,INF_TELEFONE,INF_FAX,INF_EMAIL,INF_SITE,INF_DESCRICAO,INF_AUTOR_DESCRICAO,INF_FONTE,INF_OBS,INF_ACTIVO,INF_MUNICIPAL,GlobalID
-9.18460720862173,38.7286175414567,1,0805531053001,2,Espaços Verdes e Lazer - Miradouros,211819,12514,Miradouro do Panorâmico de Monsanto,Estrada Bela Vista,,,,,"Localizado no Parque Florestal de Monsanto, nas instalações do antigo restaurante panorâmico, este miradouro, aberto ao público em setembro de 2017, tem uma vista de 360º sobre a cidade.

O edifício de sete mil metros quadrados, da autoria do arquiteto Chaves da Costa e com painéis cerâmicos de Manuela Madureira foi inaugurado em 1968.

Das 9h00 às 19h00, de segunda a domingo, a entrada é gratuita.",,DMEVAE,,1,0,6eed37fd-2b1c-4d74-bf46-651b8b94737d
-9.17955331557937,38.7000078665594,2,0202512431001,2,Espaços Verdes e Lazer - Miradouros,211819,12522,Experiência Pilar 7,"Avenida da Índia, Ponte 25 de Abril - Pilar 7",+351 211117880 ,,info@lismarketing.pt,www.visitlisboa.com ,,,www.visitlisboa.com ,,1,0,783577af-9715-49a8-a797-b6cef6a60d69
-9.12772934065019,38.7120702145944,3,16,7,Espaços Verdes e Lazer - Miradouros,211819,3232,Miradouro de Santo Estêvão,Largo de Santo Estêvão,+351 213 912 600,,daev@cm-lisboa.pt,,"Situado no coração de Alfama, do adro da Igreja de Santo Estêvão desfruta-se uma soberba vista sobre o bairro e o Tejo.",,-,SG/DMC,1,0,51166c6a-a6bf-4d6a-9fdf-b2490dc737b6
-9.1342099748577,38.7129909526938,4,41,7,Espaços Verdes e Lazer - Miradouros,211819,1948,Miradouro do Castelo de São Jorge,Castelo de São Jorge,+351 218 800 620,,info@castelodesaojorge.pt,www.castelodesaojorge.pt,"O Castelo de São Jorge oferece uma vista privilegiada e muito completa da cidade. Deslizando os olhos pela Costa do Castelo, passamos pelos telhados da Mouraria até ao Martim Moniz. A contemplação pode prosseguir pela colina de Santana, pela Baixa e subir a São Roque, onde espreitam as ruínas do Convento do Carmo e o arvoredo do miradouro fronteiro de São Pedro de Alcântara. Percorrendo os telhados e as ruas estreitas e sinuosas de Alfama, passando pela Sé, os olhos avançam em direção ao rio Tejo. Para Norte, avistamos as novas áreas da cidade, com avenidas largas e prédios de construção mais recente.
",Isabel Santos,-,,1,0,8ced2062-5a41-479a-927f-d17cadd6352a
-9.13158392170281,38.7164270022918,5,20,7,Espaços Verdes e Lazer - Miradouros,211819,1958,Miradouro Sophia de Mello Breyner Andresen (Miradouro da Graça),Largo da Graça,(351) 213 912 600,,daev@cm-lisboa.pt,,"Localizado junto à Igreja e antigo Convento da Graça, é um espaço calcetado, que oferece ao traseunte a sombra de alguns pinheiros-mansos e alguns bancos, onde é possível descansar enquanto nos deleitamos com um lindíssimo panorama sobre a cidade de Lisboa e a foz do Rio Tejo. A silhueta altiva do Castelo de São Jorge, recortada de torres contra o céu, é a presença mais próxima que prende o nosso olhar. Deslizando os olhos pela Costa do Castelo abaixo, passamos pelos telhados da Mouraria até à Praça do Martim Moniz. A contemplação pode prosseguir pela Colina de Santana , pela Baixa e subir a São Roque, onde espreitam as ruínas do Convento do Carmo e o arvoredo do Miradouro de São Pedro de Alcântara. Manchas verdes como o Jardim Botânico da Faculdade de Ciências, o Parque Eduardo VII e até o Parque Florestal de Monsanto estão ao alcance da nossa vista. Para Norte, um pouco obstruídos pelas casas da Graça e pelo Miradouro da Senhora do Monte, avistamos ainda as Avenidas Novas e os edifícios de construção mais recente.
",Oásis Alfacinhas: Guia Ambiental de Lisboa - Isabel Santos,-,,1,1,fd96eabc-2570-4094-831c-3c54e5a4133d
-9.12469371501453,38.7149698947601,6,23,7,Espaços Verdes e Lazer - Miradouros,211819,1960,Miradouro de Santa Clara,Campo de Santa Clara,+351 218 533 270,,daev@cm-lisboa.pt,,"É um ponto alto da cidade com vista panorâmica sobre o rio Tejo, de Stª Apolónia até Alcochete (margem Sul). È aqui que, desde 1882, se realiza todas as terças-feiras e sábados a Feira da Ladra, a mais antiga feira de quinquilharias e antiguidades da cidade.",,-,SG/DMC,1,0,8cf5bdec-709c-45c9-9c61-4be75aeb0146
-9.16058145642916,38.7130974128718,7,32,7,Espaços Verdes e Lazer - Miradouros,211819,3233,Miradouro da Basílica da Estrela,"Praça da Estrela
1200-667 LISBOA",+351 213 960 915,,,,"Do zimbório desfruta-se de bela vista: a oeste a Tapada da Ajuda, ao longe o Monsanto e as montanhas de Sintra; a norte o Jardim da Estrela e a cidade; a este avista-se o Castelo de S. Jorge, a torre de São Vicente e mais abaixo as da Sé; a sul o Tejo.",,-,SG-DMC,1,0,48fbfa88-0ee2-449a-a6fa-98bf29696738
-9.14128599806249,38.719322582176,8,4,7,Espaços Verdes e Lazer - Miradouros,211819,1965,Miradouro do Torel,Rua Júlio de Andradel,,,,,"Deste miradouro disfruta-se de uma vista desafogada sobre o vale da Avenida da Liberdade e a colina de São Roque, onde se destaca o jardim de São Pedro de Alcântara, os sucessivos patamares da Calçada de Santana e de um modo geral a zona Ocidental da cidade.",,-,SG/DMC,1,0,1cd6490b-e68e-4a34-9a27-c654ef3124e8
-9.13036645835443,38.7123461790388,9,21,7,Espaços Verdes e Lazer - Miradouros,211819,1959,Miradouro das Portas do Sol,"Largo das Portas do Sol
",+351 213 912 600,,daev@cm-lisboa.pt,,"Localizado no Largo das Portas do Sol, daí o seu nome, fronteiro ao Palácio Azurara, onde está instalada à Fundação Ricardo Espírito Santo Silva, é um balcão privilegiado sobre a colina de São Vicente e um dos pontos mais cenográficos da cidade. Dali avistamos as Igrejas de São Miguel e de Santo Estêvão, a Igreja e Mosteiro de São Vicente de Fora, o labiríntico Bairro de Alfama, com as suas ruas e ruelas sinuosas, pátios e travessas, escadarias e desníveis, que se estendem até ao Rio Tejo.
","http://revelarlx.cm-lisboa.pt, www.guiadacidade.pt/portugal - Isabel Santos",-,,1,1,229ec52c-ec31-4bf4-a471-b4db75912df9
-9.2056974730783,38.6936140675156,10,11,7,Espaços Verdes e Lazer - Miradouros,211819,1953,Miradouro do Padrão dos Descobrimentos,"Avenida de Brasília
",+351 213 031 950,,info@padraodosdescobrimentos.pt,www.padraodosdescobrimentos.pt,"No terraço existe um espetacular miradouro, donde se pode avistar Lisboa, o rio, a Ponte 25 de Abril e a margem sul do Tejo. Com altura de 50 metros acima do terreno, permite uma vista panorâmica fabulosa sobre a zona histórica de Belém. Nas suas linhas gerais, o Padrão tem a expressão fortemente arquitetónica de uma caravela, ladeado inferiormente por duas rampas que se reúnem numa proa, ponto mais alto da composição escultórica e onde avulta a figura do Infante Dom Henrique. No pavimento da esplanada em frente ao Padrão que lhe serve de base e acesso, foi construída a Rosa-dos-Ventos com 50 metros de diâmetro, oferta do governo da República da África do Sul em 1960.",,-,,1,1,ce95a050-404d-4678-8cae-fdff207bc983
